,Description,num1,div,num2,unit
150,STRAW PLAS TRANS JMB WRPD 7.75,24,/,500,ct
151,SCALLOP WHL SWIMMING LIVE,1,/,10,# av
152,BEEF CHUCK SHOULDER TENDER CH,3,/,15,#avg
153,FORK PLAS REFILL PP SMTSK WHT,24,/,40,ct
154,SNAPPER FIL NAT 6-8 OZ SKON/BL,1,/,10,lb
155,JUICE FRUIT PUNCH BOX 100%,4,/,8,ct
156,JUICE LEMON PLAS CONC,12,/,32,oz
157,LID PLAS CPLA F/SOUP 8 OZ,20,/,50,ct
158,TURKEY BRGR SAVRY WHT RTC,40,/,4,oz
159,TURKEY SAUSAGE PTY RAW,128,/,1.5,oz
160,KIT CUTLERY HVY KFS/S&P/NAP,250,/,,ct
161,TRAY PAPR FD PLYCTD .5LB,4,/,250,ct
162,YOGURT BLACK CHERRY OIKOS GRK,12,/,5.3,oz
163,SPOON PLAS SILVER 6.25 REFLEC,600,/,,ct
164,CHEESE PARMESAN GRTD IMPORT,4,/,5,lb
165,TOMATO CRUSHED NO SALT ADD CA,6,/,102,oz
166,DOUGH SCONE APPLE CINNMON FTO,96,/,3.75,oz
167,DUCK LEG,1,/,18,#avg
168,OLIVE BLACK SLI,6,/,,#10
169,PIZZA CRUST 10 GLUTEN FREE,20,/,,ct
170,CONTAINER PLAS BLK COMBO RECTA,150,/,58,oz
171,CARROT FRESH RNBOW MIX,1,/,25,#
172,CHIP PITA,1,/,15,lb
173,LETTUCE ROMAINE FRESH,1,/,24,ct
174,CILANTRO BUNCH FRESH,1,/,30,ct
175,PIE APPLE RTB 10 IN,6,/,46,oz
176,BEEF RIBEYE LIP-ON 112A,6,/,,light
177,SPICE PEPPER SUPREME,6,/,21,oz
178,CORN SWEET YELLOW FRSH 48 CT,1,/,45,lb
179,RADISH RED CELLO PACK FRESH,14,/,1,lb
180,COFFEE GRND BKFST BLEND REG,32,/,5,oz
181,VINEGAR BALSAMIC AGED 5YRS ITL,2,/,5,ltr
182,WRAP PAPR CUPCAKE BLK/WHT DOT,5,/,50,ct
183,BREAD FLAT THIN & CRISPY CRUST,4,/,12,ct
184,CHIP TORTILLA YEL RND THCK,3,/,32,oz
185,SEASONING SALT FREE MEXICAN,6,/,20.74,z
186,NAPKIN BEV 10X10 1/4F NATRL,20,/,50,ct
187,PLATE PAPER MLD FBR 9 ERTH CH,4,/,125,ct
188,CREAM HALF & HALF BULK,3,/,96,oz
189,LEMON FRESH,1,/,10,lbs
190,TURKEY RSTD WHT/DRK NET RAW,2,/,10,#avg
191,BEEF GRND BULK 81/19 CHUB FRS,4,/,10,# av
192,YOGURT PLAIN GREEK NONFAT,6,/,32,oz
193,TUNA LOIN SKON BLI 2+ SML,1,/,15,#avg
194,LETTUCE SAL MIX CONFETTI W/CLR,4,/,5,lb
195,BOWL PULP BIO RND 32OZ 8.5,300,/,32,oz
196,PORK SHANK OSSO BUCCO FULL,6,/,3.3,#av
197,RICE JASMINE THAI PR GRADE,1,/,50,lb
198,TROUT RNBOW BFLY BNLS 5-7 OZ,2,/,5,lb
199,WRAP PAPER TISSUE MENU 12X12,1,/,1000,ct
200,CONTAINER CORR INSUL BEV KRFT,25,/,96,oz
201,JUICE CRNBRY CKTAIL LT RTS PET,8,/,64,oz
202,YOGURT MANGO GREEK 2%,12,/,5.3,oz
203,BOWL PLAS SWIRL W/LID 7,150,/,48,oz
204,LETTUCE GREEN LEAF FRESH,1,/,24,ct
205,JUICE APPLE CONC 5+1,3,/,3,ltr
