"2791","2737","2680","2620","2557","2491"
"2766","2711","2652","2590","2525","2456"
"2741","2683","2623","2559","2491","2419"
"2714","2655","2593","2526","2456","2381"
"2687","2626","2561","2492","2418","2340"
"2658","2595","2528","2456","2379","2297"
"2628","2563","2493","2418","2337","2251"
"2597","2529","2456","2377","2293","2202"
"2565","2493","2417","2335","2246","2149"
"2530","2456","2376","2289","2195","2093"
"2494","2416","2332","2241","2141","2032"
"2456","2374","2285","2188","2082","1965"
"2415","2329","2235","2132","2018","1891"
"2372","2281","2181","2070","1947","1809"
"2326","2229","2122","2003","1869","1716"
"2276","2173","2058","1928","1781","1610"
"2223","2111","1987","1844","1680","1486"
"2164","2044","1907","1749","1562","1336"
"2100","1969","1817","1638","1420","1147"
"2029","1884","1712","1505","1242","892"
"1949","1786","1588","1338","1002","504"
"1857","1670","1434","1116","630","0"
