"6977","6842","6700","6551","6393","6227"
"6916","6777","6630","6476","6313","6139"
"6852","6709","6558","6398","6228","6048"
"6786","6638","6482","6316","6139","5951"
"6717","6564","6402","6230","6046","5850"
"6646","6487","6319","6139","5948","5742"
"6571","6407","6231","6044","5843","5627"
"6493","6322","6139","5943","5733","5505"
"6411","6233","6042","5837","5615","5374"
"6326","6139","5939","5723","5488","5232"
"6235","6040","5830","5601","5352","5079"
"6139","5935","5713","5471","5205","4911"
"6038","5822","5587","5329","5044","4727"
"5930","5702","5452","5176","4868","4522"
"5815","5572","5305","5007","4672","4290"
"5691","5432","5144","4820","4451","4025"
"5557","5279","4966","4611","4199","3714"
"5411","5110","4767","4372","3905","3339"
"5250","4921","4542","4094","3551","2868"
"5072","4709","4281","3761","3106","2231"
"4872","4464","3970","3346","2506","1259"
"4643","4174","3584","2789","1574","0"
